Year,,Cəmi (mln. ton/km),Dəmir yolu (mln. ton/km),Dəniz (mln. ton/km),Hava (mln. ton/km),Boru kəməri (mln. ton/km),neft kəməri (mln. ton/km),qaz kəməri (mln. ton/km),Avtomobil (mln. ton/km)
2024,,96992.0,7027.0,6971.0,3444.0,66104.0,52997.0,13107.0,13446.0
2023,,93273.0,6740.0,4052.0,3017.0,67014.0,54325.0,12689.0,12450.0
2022,,90309.0,7097.0,3438.0,2838.0,65333.0,53364.0,11969.0,11603.0
2021,,78654.0,5316.0,3093.0,2802.0,58018.0,47585.0,10433.0,9425.0
2020,,76328.0,4861.0,3299.0,2302.0,57065.0,49271.0,7794.0,8801.0
2019,,89749.0,5152.0,3351.0,947.0,62768.0,55798.0,6970.0,17531.0
2018,,93296.0,4492.0,4576.0,919.0,66452.0,60658.0,5794.0,16857.0
2017,,92002.0,4633.0,4418.0,738.0,65879.0,60616.0,5263.0,16334.0
2016,,90768.0,5192.0,3002.0,683.0,65924.0,60907.0,5017.0,15967.0
2015,,92776.0,6210.0,2937.0,582.0,67515.0,62511.0,5004.0,15532.0
2014,,93531.0,7371.0,4124.0,481.0,67039.0,62030.0,5009.0,14516.0
2013,,90887.0,7958.0,4632.0,443.0,63734.0,59274.0,4460.0,14120.0
2012,,90110.0,8212.0,5062.0,357.0,63172.0,59171.0,4001.0,13307.0
2011,,91461.0,7845.0,5186.0,224.0,65850.0,61960.0,3890.0,12356.0
2010,,97504.0,8250.0,4859.0,139.0,72931.0,68804.0,4127.0,11325.0
2009,,97704.0,7592.0,6173.0,110.0,73195.0,68575.0,4620.0,10634.0
2008,,88607.0,10021.0,6076.0,129.0,62434.0,58759.0,3675.0,9947.0
2007,,78007.0,10375.0,5989.0,204.0,52305.0,50892.0,1413.0,9134.0
2006,,43294.0,11059.0,8043.0,291.0,15679.0,14690.0,989.0,8222.0
2005,,26533.0,9628.0,7521.0,310.0,1538.0,624.0,914.0,7536.0
2004,,23283.0,7536.0,6771.0,315.0,1696.0,655.0,1041.0,6965.0
2003,,22291.0,7719.0,6555.0,204.0,1572.0,649.0,923.0,6241.0
2002,,20277.0,6980.0,6077.0,84.0,1602.0,648.0,954.0,5534.0
2001,,18447.0,6141.0,5744.0,76.0,1643.0,717.0,926.0,4843.0
2000,,15948.0,5770.0,5192.0,102.0,1371.0,646.0,725.0,3513.0
1999,,14805.0,5052.0,4744.0,112.0,1929.0,662.0,1267.0,2968.0
1998,,12084.0,4702.0,4447.0,153.0,1390.0,786.0,604.0,1392.0
1997,,10678.0,3515.0,5008.0,39.0,1214.0,570.0,644.0,902.0
1996,,8378.0,2778.0,3911.0,56.0,1153.0,529.0,624.0,480.0
1995,,8331.0,2409.0,4325.0,57.0,1013.0,465.0,548.0,527.0
